stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,28.6,0,0,0,0,0,0,0,0,0,0,0,8.17,44.95,0,0,0,0,12.26,371.86,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,6.42,8.56,3.21,0,0,0,0,0,0,0,0,4.28,9.63,0,34.23,0,1.07,0,0,41.72,123.03,1.07,1.07,0,29.95,1.07,0,11.77,0,0,0,0,0
21Day,6.69,0,22.76,30.79,9.37,0,1.34,0,4.02,0,4.02,2.68,0,5.35,5.35,37.48,0,0,5.35,0,13.39,28.11,0,0,0,17.4,4.02,5.35,9.37,1.34,4.02,0,0,1.34
3Month,0,1.92,10.24,0,0.32,0.96,3.84,0,19.2,2.24,1.6,3.2,1.92,2.56,4.48,8,2.88,0,0.96,0.96,0.32,0.32,0.64,1.92,0,2.24,1.28,135.02,0.64,0,0,3.2,113.26,5.44
22Month,0,0.55,3.28,0,0,0,3.28,0.55,36.63,2.19,5.47,8.75,0,2.19,3.83,3.83,0,0.55,0.55,0,0,0,0.55,0.55,1.09,0.55,0,25.15,0.55,0,0,0,0.55,1.64
