stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0,9.63,1.07,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,6.69,0,0,6.69,0,0,0,1.34,1.34,0,0
3Month,2.24,0.32,0.64,2.56,0.32,0.64,0.32,0.96,0.32,0.32,0.32,0,0,0.64,44.15,0,7.68,0
22Month,0.55,0,1.09,0.55,0,0,0,0,0,0.55,0,0,0.55,0,7.11,0,0,0.55
