stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,3.21,7.49,0,0,0,0,0,1.07,1.07,0,0,0
21Day,1.34,0,0,1.34,1.34,0,1.34,0,0,2.68,0,0,0,0,1.34,0,4.02,0,0,1.34,0,4.02,8.03,0,0,0,0,1.34,0,0,0,0,0
3Month,0.64,0,0.96,21.44,0,0,0,1.6,0,83.51,1.28,0,1.6,0.32,2.56,0.32,12.8,1.6,0,0.96,0.32,0.32,0,0,0,0.64,0.32,32.95,0.64,0,0.64,40.31,1.6
22Month,0,0.55,0,4.37,0,2.19,0,3.28,8.75,215.93,0.55,1.09,1.09,0,0,3.28,25.69,0.55,4.37,0.55,0,1.09,1.64,1.64,1.09,0,0.55,27.33,2.19,0,0,0,1.09
