stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0
3Month,0.32,3.2,0.32,0.32,2.56,0.32,0.96,0.96,0.64,1.28,0.96,0.64,0.64,0,0,0.32,0,0.32,19.2,0.64,21.44,1.28
22Month,0,0,0,0.55,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0.55
