stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,4.28,2.14,0,0,0,0,0,0,0,0,0,0,6.42,0,3.21,0,0,0,1.07,6.42,0,1.07,2.14,0
21Day,5.35,0,13.39,2.68,1.34,0,0,0,0,0,1.34,0,4.02,4.02,1.34,12.05,1.34,0,6.69,0,1.34,0,0,2.68,4.02
3Month,0.32,0.32,2.88,0,0,0,0.32,0,1.6,0.32,0,0.64,0.64,3.52,0.32,2.24,0,0.96,0,0.32,0,0.32,0,0.64,0.64
22Month,0,0,0.55,0,0,0.55,0,0.55,2.19,0,0,0.55,0,1.09,0,0,0,0,0.55,1.09,0,0,0,0,0
