stage,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell
21Day,1.34,0,0,0,0,1.34
3Month,0,0,0.96,0.32,0,0
22Month,0.55,0.55,1.09,0,0.55,0
