stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,20.43,4.09,0,0,0,0,0,0,4.09,0,0,0,0,32.69,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,6.42,0,0,9.63,8.56,2.14,0,1.07,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,2.68,4.02,1.34,0,0,1.34,2.68,0,0,0,0,0
3Month,0,0.32,1.28,0,0.96,5.76,0.64,0.32,0.32,0.32,16.96,1.6,0,0.32,0.32,0,0,1.6,0,0.64,1.28
22Month,0,4.92,1.64,0,1.09,11.48,0.55,0,1.09,0,26.79,1.64,1.09,0,0.55,0,0,0,0,0,0
