stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,4.09,0,24.52,8.17,106.25,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,1.07,0,0,1.07,4.28,10.7,5.35,0,0,0,0,0
21Day,4.02,1.34,2.68,4.02,4.02,0,0,1.34,0,0,0,0,2.68,4.02,17.4,1.34,0,0,1.34,0,1.34
3Month,0,0,0,0,0,0.32,1.92,0,0,0,0.32,0.32,0,0,0,0,0.32,1.92,0,0.64,0
22Month,0,0,0,0,0,0,0.55,0,1.09,0,0,0,0,0,0,0,0,2.19,0,0,0
