stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,4.28,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,13.39,0,0,0,0,0,0,1.34,0,16.06,2.68,0,0,0,0,1.34,1.34,0,0,0,2.68,1.34,0,0,0,0
3Month,0.32,1.92,20.48,0,6.72,1.28,0,11.84,1.6,11.52,0.32,2.88,8,1.28,0,1.6,0.32,0.64,0,0.32,0.32,0,0.32,79.03,0.32,0,22.08,1.6
22Month,0,3.28,7.11,0.55,10.93,1.64,3.83,28.43,0.55,5.47,1.09,1.64,14.21,1.64,0.55,2.19,0,0,0,0.55,0.55,1.64,0,43.73,0,0.55,0,1.64
