stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,22.47,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,14.98,1.07,4.28,0,1.07,0,0,22.47,31.02,0,0,0,0,0,4.28,1.07,0,0,0,0
21Day,21.42,1.34,0,6.69,0,5.35,0,0,0,1.34,0,4.02,0,1.34,1.34,4.02,4.02,0,0,1.34,0,2.68,5.35,0,0,1.34,1.34,1.34,1.34,2.68,1.34,0,0,0
3Month,0,0.64,0.32,8.32,0.32,0.32,1.6,4.8,0,28.48,6.4,0.64,5.76,0.64,1.92,3.52,2.56,0.96,0,0.96,2.24,0.32,0,0.64,0,0,2.24,25.28,0.32,0,0,2.24,6.4,6.4
22Month,0,1.09,1.09,7.11,0.55,1.09,1.09,6.56,1.09,68.88,6.56,2.19,7.11,0.55,0.55,8.2,6.01,0,1.64,0,0.55,0.55,0.55,0,0.55,0,0,7.65,0.55,0,0,0.55,0,1.64
