stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,1.07,0,0,0,0,0,0,3.21,0,2.14,187.21,11.77,2.14,0,0,2.14,0,0
21Day,0,0,2.68,1.34,4.02,0,0,0,0,1.34,0,0,1.34,1.34,85.67,5.35,1.34,6.69,1.34,1.34,1.34,1.34
3Month,0,0,0.32,0,0,0,0,0.96,0,0,0.64,0.32,0.32,0,0.64,0,0,0,1.92,0,0,0
22Month,0,1.64,4.92,0,0,2.19,1.09,15.31,0.55,0,0.55,0,1.09,2.73,0.55,0,0,0.55,8.75,0,0,0
