stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,13.91,2.14,0,0,0,1.07,0,1.07,1.07,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,1.34,0,1.34,0,0,2.68,0,0,0,0,1.34,0,0,1.34
3Month,0.64,0.64,6.4,0,0,0.32,2.56,0,9.92,1.28,0,3.84,1.6,1.6,1.28,1.92,0.32,0,0.64,0.64,0.32,0,0.32,0,0,0,0.32,118.7,0.32,0.32,0,0.32,7.36,2.56
22Month,1.09,1.64,4.37,1.09,0.55,0,6.01,3.28,43.73,1.64,0.55,5.47,1.64,1.09,2.19,5.47,0,1.09,1.64,0,0,0,1.64,0.55,10.39,0,0.55,59.04,0.55,0,0,0,0,3.28
