stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,0,1.34,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0
3Month,1.92,0,2.88,0.32,0.32,0.64,0,0.64,0.32,0,0.32,0,20.8,0.32,11.2
22Month,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0
