stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,1.07,6.42,2.14,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,4.02,1.34,0,0,0,0
3Month,0.64,0.32,0,0.96,0.64,0,0,0,0,0,0,0,0,0.64,0.96
22Month,1.09,0,0.55,5.47,0.55,0.55,0,1.09,0,0,0,0.55,0.55,0,0
