stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,187.97,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,4.28,7.49,0,4.28,1.07,2.14,0,0,0,0,0,0,0,1.07,13.91,0,11.77,0,0,0,0,92,66.33,0,0,14.98,0,1.07,6.42,0,1.07,0,0,0
21Day,4.02,4.02,0,13.39,0,1.34,0,2.68,0,0,1.34,0,1.34,0,12.05,1.34,26.77,0,0,9.37,0,38.82,14.72,0,0,25.43,8.03,0,2.68,2.68,0,0,0,0
3Month,0,7.68,0.32,4.8,0.32,0,0.32,0.32,3.52,0,85.75,0.32,0,2.88,7.04,1.6,13.44,1.28,0,1.6,0.32,1.92,0.32,1.28,0,0.32,1.6,3.84,0,0.32,0,0.64,0.32,0.96
22Month,0,9.29,3.28,4.92,0,0,0.55,0,6.56,15.31,275.51,1.64,1.09,6.01,0,3.28,11.48,0,4.92,1.64,0,2.19,0.55,2.19,0.55,0,0,0.55,0.55,0,0,1.09,0,1.09
