stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,20.43,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,4.28,8.56,2.14,1.07,0,0,1.07,56.7,1.07,262.1,0,0,13.91,13.91,1.07,71.68,0,0,0,0,0
21Day,2.68,2.68,0,6.69,1.34,2.68,1.34,14.72,0,224.87,4.02,0,6.69,0,0,54.88,10.71,1.34,1.34,2.68,0
3Month,0,0.32,0,0,0.64,0.32,0,0.32,0.64,0,0,0.32,0,0,0,0,0,0,0,0,0.32
