stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,335.09,110.33,0,617.05,24.52,36.78,0,12.26,0,0,0,0,89.9,8.17,0,0,0,179.8,175.72,612.96,788.68,0,0,0,28.6,694.69,6084.66,0,0,0,98.07,0,0,0,4.09,0,0,73.56,0,0,0
72hpf,261.03,115.54,0,284.56,121.96,116.61,0,20.33,0,0,5.35,0,2.14,6.42,0,35.3,0,379.78,635.46,88.79,701.78,0,142.28,39.58,22.47,3805.25,2189.86,20.33,67.4,0,666.48,34.23,0,2.14,791.65,86.65,43.86,200.05,0,0,0
21Day,341.33,49.53,45.51,938.31,38.82,346.68,0,199.44,0,16.06,46.85,0,0,60.23,25.43,199.44,96.37,92.36,393.53,172.67,745.56,0,1.34,104.41,5.35,835.24,713.44,25.43,70.94,0,333.29,132.51,0,10.71,270.38,69.6,128.5,53.54,1.34,0,64.25
3Month,6.4,94.39,42.23,942.57,13.12,0,21.44,26.88,2.56,157.74,268.76,5.44,0,1729.01,292.75,67.19,923.37,120.3,247,372.42,271.96,41.59,3.52,87.03,136.3,67.83,19.84,74.87,92.47,0,20.48,46.07,1.28,781.64,29.12,1.6,0,15.68,140.14,99.82,183.33
22Month,4.37,130.65,75.98,370.09,8.2,0,23.51,27.88,0,89.1,732.52,135.57,0,3895.46,154.16,174.93,1052.31,28.97,73.25,698.62,276.06,8.2,61.77,57.95,6.56,31.16,9.29,89.1,103.86,9.29,13.67,10.93,0,166.73,42.09,59.04,0,3.28,23.51,0,80.36
