stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,1.07,2.14,0
3Month,0.32,0,0.32,0.32,0,0.32,0,0.32
22Month,0,5.47,0.55,0,0.55,0,0,0
