stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,0,8.17,110.33,0,0,8.17,0,0,0,0,4.09,0
72hpf,7.49,1.07,0,7.49,0,0,0,0,0,0,0,11.77,17.12,1.07,24.61,0,2.14,0,63.12,86.65,0,2.14,24.61,1.07,0,7.49,0,0,0
21Day,13.39,0,1.34,21.42,4.02,1.34,0,4.02,0,4.02,2.68,0,8.03,5.35,48.19,0,0,0,32.12,42.83,1.34,1.34,24.09,5.35,2.68,5.35,2.68,2.68,1.34
22Month,0,0.55,0,3.28,0,0.55,0.55,19.68,0.55,0.55,3.83,0.55,0,0,6.01,0.55,0.55,0.55,0,0,1.64,1.09,0,1.09,3.28,0,0,0,1.09
