stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,102.16,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0,93.99,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,6.42,10.7,9.63,1.07,0,0,0,0,0,0,0,0,4.28,1.07,1.07,9.63,0,3.21,2.14,17.12,28.88,0,1.07,11.77,0,0,2.14,3.21,5.35,2.14,0,0,0
21Day,5.35,2.68,17.4,12.05,0,0,0,0,0,2.68,0,0,0,1.34,9.37,0,84.33,0,0,6.69,20.08,32.12,0,0,14.72,0,1.34,4.02,5.35,6.69,2.68,0,0,0
3Month,0,3.52,8.64,0.96,0,0,0.96,0.64,0.32,4.16,0.96,0,0.64,1.28,1.6,5.76,11.84,2.88,0,1.6,0.32,0,0.32,0,0,0.64,10.24,0,0,0,0.96,0,2.88,1.28
22Month,0,10.39,3.83,0.55,0,0.55,0,0.55,1.09,16.4,0.55,1.09,1.64,0,0,1.64,20.77,0.55,1.09,2.73,1.09,0,0.55,0,0.55,0,5.47,0.55,0,0,1.09,0.55,0,0
