stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,3.21,0,0,0,0,0,0,0,1.07,1.07,19.26,0,0,248.19,13.91,1.07,6.42,0,0,3.21,1.07,0,0,0,0
21Day,0,0,0,2.68,1.34,0,1.34,1.34,0,0,0,0,0,0,0,0,64.25,4.02,0,0,2.68,0,8.03,9.37,1.34,0,0,0
3Month,0,0.32,0,0.32,0,0.64,1.6,0.32,0.32,0.64,0.32,0.96,0.32,0.32,0.96,0,1.92,0,0.32,0,0,0.32,1.28,0,0,0.32,5.76,0.64
22Month,0.55,1.09,1.09,1.64,0,0.55,10.39,0,0.55,1.09,0,0.55,1.64,2.73,0,1.09,1.09,0,2.19,0,0.55,0.55,0,0.55,0,0,0,0.55
