stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,2.56,1.92,0.64,10.88,0.32,0.32,20.48,1.28,104.62,0.32,0.96,0,0.96,0.32,0.32,0,1.6,0.64,0.32,0.32,0.96,0.64
22Month,4.92,1.64,0,4.37,1.09,0,11.48,0,74.89,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0
