stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,4.28,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0.32,0.32,0.32,2.56,0,0.64,0,0.32,1.28,0.32,0.32,0,0,0.32,0,0,1.28,0,0.32
22Month,0.55,1.09,1.09,0.55,1.09,24.6,0,2.19,0.55,2.73,2.19,0.55,0,0,0.55,0,0,0.55,0.55,0.55,0.55
