stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,16.35,0,16.35,0,0,4.09,0,0,0,0,0,0,0,4.09,0,24.52,0,0,0,32.69,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,2.14,4.28,0,0,0,0,0,0,1.07,0,0,2.14,0,6.42,0,0,1.07,290.98,27.81,0,1.07,12.84,0,0,0,2.14,1.07,3.21,2.14,0,0,0
21Day,5.35,1.34,0,16.06,17.4,0,1.34,1.34,8.03,0,8.03,113.78,1.34,2.68,5.35,21.42,10.71,0,0,6.69,175.35,20.08,2.68,1.34,1.34,10.71,0,0,0,0,1.34,0,0,0,74.96
3Month,0.32,0.32,0.32,8.64,0,0.64,0,0.32,32.95,7.36,126.06,8,3.52,0,3.2,5.44,1.28,0.64,0,0.64,2.24,0,1.28,0,0,1.28,0.32,2.56,0,0,0,0,0.96,10.56,27.2
22Month,0.55,1.09,0.55,4.92,0,1.09,2.19,0,60.13,33.35,15.85,7.11,2.19,0,1.09,9.84,3.28,0,0.55,0,1.64,0,0.55,0,0,0,0,2.19,0,0.55,0,0,0,0,17.49
