stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,12.26,0,4.09,93.99,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,3.21,0,13.91,8.56,1.07,1.07,0,0,1.07,1.07,0,0
21Day,0,0,0,1.34,0,1.34,1.34,0,1.34,0,0,1.34,1.34,5.35,0,9.37,4.02,0,0,0,0,1.34,0,0,1.34
3Month,0,0.64,0.32,0.96,0.32,0,2.88,0.32,0.64,0.32,0.64,0.96,0,0.32,0.32,0.32,0,0,0,0.64,38.71,0.32,0,21.44,0
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
