stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,24.52,0
72hpf,0,1.07,0,1.07,1.07,3.21,0,1.07
21Day,1.34,0,1.34,1.34,0,1.34,1.34,0
