stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,2.14,4.28,6.42,1.07,3.21,3.21,1.07,1.07,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0,0,5.35,8.03,0,1.34,4.02,0,0,0,0,1.34
3Month,0.32,0.64,2.88,0.32,0,0.32,0.64,5.44,0,3.2,2.56,0,0.32,0,0.64,6.4,1.28,0.32,0,0.64,0.32,0,0.96,0.96
22Month,0,0,0.55,0,0,0,0.55,5.47,2.19,6.56,1.09,0.55,1.09,1.09,0.55,8.75,0.55,0,0,0,0,0.55,0.55,0.55
