stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,6.42,0,0,1.07,0,2.14,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,14.72,1.34,0,17.4,24.09,0,0,0,0,0,0,0,335.97,5.35,4.02,14.72,70.94,30.79,0,0,1.34,0,60.23,10.71,0,0,0,4.02,18.74,5.35,1.34,16.06,0,0,104.41
3Month,0.64,3.52,1.6,14.72,0,2.24,0.32,2.56,9.28,0,20.48,28.8,11.84,11.52,3.52,3.52,446.33,38.39,4.16,0.64,1.28,1.92,1.92,0,0.96,0.64,0,0,6.72,402.82,0.32,0,3.84,47.03,295.31
22Month,0.55,0,0.55,1.64,0,0,0,0.55,4.37,1.09,13.67,1.09,0,1.64,1.64,0,218.66,4.92,0,0,3.28,0,0,0,0,0,1.09,0,2.73,84.73,0.55,0,0,0.55,145.41
