stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,1.07,0,0,0,4.28,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,6.69,0,1.34,0,0,0,0,0,0,0,0,0,0,0,4.02,4.02,0,0,1.34,0,0,4.02,1.34,0,1.34,0,0,0,0,0,0
3Month,0,1.28,0.64,8.32,0,0,1.6,0,1.92,1.6,0,13.12,0,0.32,10.56,0.32,2.88,3.2,2.56,1.28,0,2.24,0.32,0.32,0,1.92,0,0,0.32,4.48,0,0.32,2.24,10.24
22Month,0,3.83,0,19.13,0,0,1.64,0.55,4.92,13.67,3.28,89.1,2.19,7.65,27.33,0,2.19,15.85,12.03,0.55,3.83,4.37,0,1.64,0,1.09,0.55,1.09,0,12.57,0,0.55,0,20.23
