stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,3.21,0,2.14,1.07,3.21,0,0,0
21Day,0,4.02,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,0
3Month,0,2.24,0,0,0.32,0.64,0,0,1.28,0,0.96,0.32,0.64,0,1.28,0.64,0,0,0,0.96,0.32,0.32
22Month,1.09,0,0,0.55,0,0,0.55,0,11.48,0.55,3.83,0,0,1.64,2.19,0.55,0,0.55,0,2.73,0,0
