stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,4.09,0,24.52,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,1.07,0,0,1.07,0,0
21Day,0,0,5.35,1.34,1.34,0,1.34,0,1.34,0,0,1.34,1.34,1.34,1.34,4.02,0,0,0,1.34
3Month,0,0,0.32,0,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0.32,0.32
22Month,0,0,0.55,0,0,0,0,2.73,0,0.55,0,0,0.55,0,0,0,0.55,0,0,0
