stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,8.56,1.07,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,13.39,0,1.34,0
3Month,0,0,0,0,0,0,0.96,0.32,0,0.32,0.32,0,0.32,0.32,0,0,0,1.6
22Month,0,3.28,0,0.55,0.55,0.55,7.11,0,0.55,0,0,1.09,1.64,0,0,0,0,0
