stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,0,34.23,2.14,6.42,0,0,0,0,0,0,0,0,0,1622.87,0,10.7,0,0,2.14,94.14,69.54,1.07,0,5.35,1.07,0,2.14,1.07,0,1.07,0,0,0
21Day,12.05,0,0,184.72,1.34,6.69,0,5.35,1.34,0,4.02,2.68,46.85,4.02,5.35,1011.93,8.03,10.71,0,44.17,0,37.48,10.71,1.34,0,6.69,6.69,4.02,0,2.68,5.35,0,0,0,26.77
3Month,0,1.6,0,135.02,0,0,0.64,0,0.64,1.6,8.32,1.92,3.84,2.56,12.16,4.16,2.24,0.64,0,12.16,0.96,0,0,0.96,0.64,0.32,1.92,3.52,0,0,0,0,35.51,2.88,21.76
22Month,0,1.64,0.55,38.27,0,0,0,0,0,1.64,23.51,1.64,1.09,3.83,1.09,3.28,2.73,1.09,0.55,7.65,0.55,1.64,0,1.09,0,0,0,12.03,0,0,0,0,28.97,0,12.57
