stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,12.26,0,4.09,0,0,0,0
72hpf,2.14,0,1.07,75.96,2.14,2.14,1.07,0,0,0
21Day,30.79,0,0,60.23,0,0,0,1.34,0,0
3Month,1.6,0.32,0,0,0,0,0,0,0.32,0.32
22Month,0,1.64,0,0,0,0,0,0,0,0
