stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.6,8,0.32,1.92,0.32,1.6,0.96,9.28,0.32,1.28,0.32,0.64,0,0.64,16.32,0.32
22Month,0.55,0,0,0,0,1.64,0,0,0,0,0,0,0.55,0,16.4,0
