stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
21Day,0,0,1.34,0,0,0,2.68,0,2.68,0,1.34,0,1.34,4.02
3Month,0.32,0.32,2.88,0,0,2.56,0,1.92,0.32,0.64,0.32,0,0,0
22Month,0,0,1.09,4.37,0.55,7.11,0.55,0.55,1.64,0.55,0.55,1.09,0,0
