stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,1.07,0,0,0,0,12.84,2.14,0,0,0,1.07,0
21Day,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,16.06,0,0,1.34,0,0,0
3Month,0.32,2.24,0,0,0.64,0,2.24,0.32,0.32,0.32,0.64,0.96,0.32,0.32,0.32,0,0.64,0,0.96,0,19.52
22Month,0.55,1.09,0,0,1.09,0.55,8.2,0,2.19,0,0,2.73,0,0,0,0,0,0,0,0,0
