stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,21.4,0,0,0,0,0,0,0,0,0,0,6.42,1.07,3.21,2.14,0,0,0,0,3.21,1.07,0,0,0,0,1.07,0,0,0,0
21Day,2.68,0,435.02,1.34,4.02,1.34,0,0,0,4.02,1.34,2.68,1.34,8.03,16.06,4.02,13.39,0,0,0,0,21.42,5.35,0,4.02,20.08,0,10.71,2.68,1.34,1.34,2.68
3Month,0,0,17.92,0,0,0,0.32,0.64,0,2.88,0,0,1.28,0.32,1.28,0.64,0.96,0.32,0,0.32,1.28,0,0,1.28,0,0.96,1.28,0,0,0,0,0
22Month,0,0.55,6.01,0,0,0,0,1.09,0.55,14.21,2.73,0,1.64,1.09,0,1.09,2.19,0,0.55,0.55,0,0,0,0,0,0,0.55,0.55,0,0,0,0
