stage,Cardiomyocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0
21Day,1.34,0,1.34,0,0,1.34,0,0,2.68,4.02,1.34,0,0
3Month,0,0.32,1.28,0.64,0.32,0,0.32,0.32,0.32,0.32,0,0.64,0.32
22Month,0,0,0.55,2.73,0,0,0,0,0,0,0,0,0
