stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,1.34,0,0
3Month,0.32,0.32,0.96,0.32,0,0.32,0.32,0,0.32,0,2.56,3.84
22Month,0,0,1.09,0,0.55,0,0,0,0,0,0,0
