stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,0,0,0,0,0,0,0,0,0,0,4.28,20.33,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,38.82,1.34,0,0,0,0,0,1.34,0,0,0,17.4,266.37,1.34,1.34,0,2.68,0,1.34,2.68,0,0,4.02,0,0,2.68,0,0,0
3Month,0,0,0.32,35.19,0,0,0,9.92,1.28,0,15.04,2.56,0,3.52,10.88,0.96,0.32,0.96,0.32,0,0.64,0,0.32,0,0,0.64,1.28,0,0,0,0.32,0.64
22Month,0,0.55,0.55,37.17,0,1.09,0.55,3.28,1.64,0.55,102.22,2.19,0.55,4.92,0.55,0,1.64,2.19,0,5.47,0,0,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0,2.19
