stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,79.16,4.28,0,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,2.68,0,0,0,0,0,0,2.68,0,2.68,1.34,1.34,0,4.02,0,46.85,1.34,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0.32,4.48,63.35,0,0.64,0.32,0,14.08,0.32,15.04,0.32,1.28,3.84,2.88,0,0,5.76,0.64,0,1.28,0,0.32,0.32,1.6,0,0,0.64,0.64
22Month,0,1.09,4.92,8.2,1.09,2.73,0.55,0.55,37.72,0,14.21,0,0,3.28,2.19,0.55,0,0,2.19,0,0,0.55,0,0,9.29,0.55,0,0,1.64
