stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,245.18,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,77.64,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,154.05,0,0,0,0,0,0,0,0,0,0,0,156.19,0,3.21,0,0,20.33,10.7,0,0,0,26.74,0,0,2.14,0,1.07,0,0,0
21Day,5.35,0,0,131.18,1.34,0,1.34,0,1.34,0,0,5.35,0,0,1.34,38.82,0,37.48,0,0,14.72,4.02,0,0,0,6.69,6.69,0,0,1.34,0,0,0,0
3Month,0,1.92,0.32,16.32,0,0.64,0.32,0.64,1.6,2.24,0,7.68,2.24,0.64,0.64,26.56,0.96,19.2,0.64,0.32,0,0,0.32,0.32,0,0,0.32,4.16,0,0,0,0.96,14.4,1.6
22Month,0.55,5.47,0.55,6.56,0,0.55,0,0,0.55,3.83,1.09,34.99,0.55,0,6.01,8.2,2.19,12.03,0.55,0.55,1.09,0,0,0.55,0.55,0,0.55,18.04,0,0,0,1.09,0,0.55
