stage,Cardiomyocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,0,0,5.35,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.96,0.32,0.32,0.32,0,0,0.96,18.56,0.32
