stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,5.35,0,0,0,0,0,0,0,0,0,0
21Day,16.06,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0
3Month,187.81,0.64,11.52,0,0.32,1.6,6.72,0.32,17.6,6.72,12.8,1.6,4.48,4.48,3.84,1.28,0,3.84,1.92,1.6,0,0.64,0.32,0,0.64,0.32,3.2,0.64,3.52,1.6,4.48
22Month,434.59,1.64,5.47,0,0,1.09,13.67,1.09,48.65,1.64,5.47,0,0,8.2,4.37,0.55,1.64,1.64,0,1.09,0,0,0,1.64,0.55,0,1.09,1.09,0,0,3.28
