stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,1.34,0,129.84,1.34,1.34,0,1.34,0,1.34,0,1.34,0,1.34,22.76,5.35,2.68,0,0,37.48,0,5.35,2.68,0,0,0,1.34,2.68,0,0,0,0,0,8.03
3Month,0,0.32,0,110.7,0,0,1.6,2.24,0,10.88,2.88,0,6.72,4.48,5.12,2.24,2.88,0.64,0,453.37,3.52,1.28,0,0.32,0.32,0,0,2.56,1.6,0,0.32,0.32,0.64,0.96
22Month,1.09,1.09,2.19,98.94,0,0,3.28,2.19,2.19,24.05,1.09,0,4.37,1.09,0.55,6.56,6.56,0,2.73,341.66,0.55,0,0,0.55,0.55,0.55,0,0.55,0,0.55,0,0.55,0,0.55
