stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,T_cell
21Day,0,0,0,1.34,6.69,0,0,8.03
3Month,0,1.92,1.28,0,0.32,0.64,0.32,6.4
22Month,0.55,0,0.55,0,0,0.55,0.55,0.55
