stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,4.09,8.17,85.81,28.6,0,0,0,4.09,77.64,224.75,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,9.63,1.07,0,13.91,13.91,3.21,0,5.35,0,0,0,0,0,2.14,0,2.14,0,42.79,27.81,7.49,13.91,0,6.42,0,3.21,26.74,35.3,1.07,0,0,9.63,6.42,2.14,5.35,66.33,0,0,0
21Day,21.42,1.34,5.35,116.45,0,37.48,0,49.53,0,5.35,1.34,0,0,4.02,2.68,97.71,4.02,10.71,48.19,42.83,18.74,0,0,5.35,0,24.09,18.74,0,1.34,0,13.39,21.42,5.35,2.68,5.35,0,0,14.72
3Month,0.64,1.92,24.96,186.21,0.32,0,1.28,5.44,0.32,39.35,6.4,0.32,0,71.99,8,7.04,36.79,6.08,32.95,47.99,8.96,2.88,0.32,12.8,3.2,1.6,0.96,1.6,0.96,0,0,6.4,81.27,0.32,0.64,1.28,17.92,11.2
22Month,0,2.73,7.11,33.35,0.55,0,0.55,6.01,0,9.84,13.12,17.49,0,148.69,16.4,12.57,37.17,0.55,5.47,57.95,13.67,0,9.84,12.03,0,1.64,0,0.55,1.09,58.49,0,1.09,68.88,0.55,0.55,1.09,0,6.01
