stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,32.69,0,0,0,0,4.09,81.73,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,5.35,2.14,1.07,0,1.07,0,0,0,0,0,2.14,2.14,2.14,17.12,0,0,0,0,113.4,43.86,4.28,0,16.05,0,1.07,5.35,178.66,113.4,2.14,0,0,0
21Day,8.03,1.34,0,22.76,1.34,16.06,0,5.35,0,2.68,1.34,6.69,4.02,1.34,24.09,1.34,37.48,0,0,1.34,0,57.56,21.42,1.34,4.02,16.06,5.35,2.68,2.68,309.2,894.14,0,0,0,4.02
3Month,0,0.32,0,8.32,0,0,0.96,0.32,1.28,15.68,0.64,1.28,3.84,0.64,2.56,16.64,7.04,1.92,0,0.96,0.96,8,0.96,15.68,0.32,0.64,0.32,9.92,0,0.64,2.24,0.96,0.32,3.2,2.24
22Month,0,1.09,0.55,6.56,0.55,0,0,0.55,2.19,33.35,0,1.09,8.2,0,0.55,6.56,4.37,0.55,0.55,0.55,0,1.64,0,37.72,0.55,0,0,3.83,2.19,144.32,0.55,6.01,0,0,3.28
