stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,36.78,77.64,0,0,0,0,0,0,0,0,0,0
72hpf,23.54,2.14,4.28,20.33,5.35,0,0,0,0,1.07,0,22.47,0,20.33,0,0,0,484.62,109.12,95.21,38.51,0,0,270.66,0,4.28,0,0,0
21Day,9.37,0,9.37,17.4,5.35,0,1.34,0,0,0,2.68,6.69,5.35,21.42,0,2.68,0,235.58,28.11,45.51,10.71,16.06,0,104.41,2.68,5.35,0,0,1.34
3Month,0,0.96,5.76,1.92,0,0.64,0.64,0.64,2.88,0.32,0.64,5.44,0.32,4.16,7.04,2.56,0.32,2.88,0.64,7.36,0,0.64,2.24,1.92,0,0,0,0.32,0
22Month,0,0,1.64,0,0,0,0,0,6.01,0,0.55,0.55,0,2.73,0,0,0,4.92,0.55,7.11,0,0,4.37,1.09,0,0,0.55,0,0
