stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,1.07,0,0,0,2.14,2.14,0,1.07,0
21Day,0,0,0,0,2.68,0,0,0,0
3Month,0,0.96,0.32,0,0,0,1.6,0,0.32
22Month,0,0,5.47,0.55,0,0,0,0,0
