stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,4.09,8.17,4.09,0,0,196.15,0,0,0,0,0,0,0
72hpf,0,1.07,5.35,0,0,0,0,0,0,3.21,3.21,0,8.56,1.07,34.23,24.61,0,3.21,0,0,3.21,0,0
21Day,1.34,0,10.71,1.34,2.68,1.34,0,1.34,1.34,1.34,2.68,0,8.03,0,12.05,14.72,0,4.02,1.34,0,4.02,0,0
3Month,0,0,1.28,0,0,0.96,0.32,0,0.32,0,0,0.32,0,0,0,0.32,0,0,0,1.28,0,1.6,0.32
22Month,0,1.09,0,0,0,3.28,0,0.55,0,0,0,0,0,0,0,0.55,1.09,0,0,0,0,0,0
