stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,0,7.49,1.07,11.77,0,0,0,0,0,0,3.21,0,4.28,16.05,6.42,6.42,1.07,0,1583.29,41.72,1.07,1.07,16.05,1.07,0,9.63,0,0,0
21Day,4.02,0,1.34,17.4,4.02,24.09,0,4.02,2.68,1.34,2.68,1.34,5.35,2.68,0,17.4,1.34,16.06,0,1.34,934.3,8.03,0,10.71,9.37,25.43,0,2.68,5.35,12.05,4.02
3Month,0,0.32,0,1.92,0,0,0,0,0.32,0,0.64,0.64,0.32,0.96,0,0.32,0.32,0.64,0,0,27.84,0,3.2,0,0,0,0.64,0.64,0,0,0.64
22Month,0,0.55,0,2.19,0,0,1.09,0,0.55,3.28,12.57,1.09,0.55,1.09,0,1.64,0,2.19,1.64,0,66.69,0,5.47,0,0,0,10.39,11.48,1.09,0,0.55
