stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,8.17,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,8.56,0,1.07,0,0,0,0,0,1.07,0,0,0,0,16.05,0,0,0,4.28,4.28,0,0,13.91,0,0,0,0,0
21Day,1.34,0,0,4.02,1.34,0,0,0,0,0,0,6.69,0,0,8.03,0,37.48,0,9.37,0,2.68,1.34,0,0,17.4,0,0,1.34,0,0
3Month,0,3.2,0.32,4.16,0,0,1.28,1.28,0,4.48,0.64,0,1.28,0.96,2.24,1.6,7.68,0.64,0.32,0.64,0,0,0,0.32,0,4.16,0,0,0.96,1.28
22Month,0,11.48,0.55,4.37,0,0,0,2.19,1.09,22.96,1.09,1.64,1.64,0,0.55,1.64,17.49,0.55,0.55,0,0,0,0.55,0,0,0.55,0.55,0,0.55,0
