stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,3.21,1.07,0,0,0,0,0,3.21,5.35,0,1.07,0,0,0,1.07,0,1.07
21Day,4.02,0,17.4,1.34,0,0,0,0,0,2.68,2.68,0,0,0,1.34,0,1.34,2.68,0
3Month,0,0.32,1.28,0,0.32,0,0,1.6,0,0.32,0,0.32,0,0,0.32,0.32,0.32,0.32,0
22Month,0,0,2.19,0,0,0.55,1.09,4.92,0.55,0,0,0,0,0.55,1.09,0,0,0,0
