stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,25.67,5.35,0,0,0,0,0,0,0
21Day,0,1.34,0,1.34,1.34,1.34,0,1.34,0,0,0,1.34,0,10.71,0,0,1.34,0,0,1.34,0,0
3Month,0.32,1.28,0,0,0.64,3.52,0.96,0,0.96,0,0,0.32,0,0,0,0.32,0,0.32,0.64,0,5.12,0.96
22Month,0,0,0,0,0.55,28.43,0.55,0,0.55,0,1.64,0,0.55,0,0,0,0,0,0.55,0,0,0.55
