stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,1.07,1.07,2.14,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,111.26,3.21,1.07,0,3.21,0,0,2.14,0,0,0
21Day,0,5.35,2.68,0,0,0,1.34,0,0,2.68,1.34,0,2.68,6.69,0,1.34,0,238.26,2.68,4.02,0,2.68,4.02,1.34,1.34,1.34,0,1.34
3Month,0,1.92,0,0,0.64,0,7.36,0.32,0.32,0.96,0.32,0.64,1.28,1.28,0,0.96,1.28,2.24,0,0,0,0,0.32,1.28,0,0,0.32,0.64
22Month,0.55,1.09,0,0.55,1.64,1.09,39.36,0,0,5.47,0,0.55,3.28,6.01,1.09,0.55,0,4.37,0,1.09,0.55,0,0,1.64,2.73,0,0,0
