stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hatching_gland,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,20.43,8.17,32.69,0,4.09,4.09,32.69,8.17,65.38,20.43,355.52,0,0,0
72hpf,1.07,0,6.42,1.07,0,0,60.98,0,3.21,6.42,4.28,0,4.28,1.07
22Month,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0
