stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,4.09,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0,0,0,0,0,0,4.02
3Month,0.32,0.32,0.64,0,0.64,0.64,0,0.32,0,0,0.96,0.32,0,0.64,0,0.32,1.6,0.96,4.16
22Month,0,0,0,0,0.55,1.09,0,1.09,0,0,0,0,0,0.55,0,0,0,0,5.47
