stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,17.12,2.14,0,1.07,0,0,0,1.07,0
21Day,2.68,1.34,0,1.34,0,1.34,0,1.34,6.69,4.02,1.34,0,0,0,1.34,0,0
3Month,9.28,0,0,0.32,0.32,0,0.64,0,9.92,4.16,0,0,0,0.64,0,0,0.96
22Month,0.55,0,0.55,4.92,0,0,0,0,1.09,3.28,0,0,0.55,0,0,0,1.64
