stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,0,0,4.09,0,0,8.17,159.37,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,4.28,0,3.21,0,0,49.21,21.4,0,0,5.35,0,0,1.07,1.07,0,0,0,0,0
21Day,2.68,0,0,9.37,1.34,4.02,0,6.69,0,0,0,0,0,1.34,0,8.03,0,1.34,6.69,0,9.37,0,1.34,18.74,14.72,1.34,2.68,4.02,4.02,0,2.68,0,1.34,1.34,0,0,0
3Month,0,0.96,0.32,3.52,0,0,0.32,0.32,0,0,0.96,0,0,3.52,0.96,0.64,1.28,0.96,0.64,2.24,1.28,0,1.28,1.6,0,9.6,0.32,0,0.64,47.67,0,0.32,0,0,0.64,10.88,1.6
22Month,0,4.92,0.55,6.56,0,0,0,0.55,1.09,1.09,5.47,3.28,0,97.3,1.64,3.28,2.73,0,4.37,10.39,9.84,8.2,1.64,3.83,0,19.13,5.47,0,0,16.4,3.28,0.55,0,0,0,0,2.73
