stage,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,4.09,0,12.26,4.09
72hpf,0,0,0,1.07,1.07,0
21Day,0,0,0,1.34,0,0
22Month,1.09,0.55,0,0,0,0
