stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,12.26,40.86,0,0,0,0,0,0,0,0,8.17,0,0,28.6,0,0,0,0,16.35,167.54,0,4.09,0,0,0,0,0,4.09,0,0
72hpf,7.49,0,7.49,3.21,2.14,0,0,0,0,0,0,3.21,9.63,0,28.88,0,0,3.21,0,69.54,47.07,2.14,42.79,0,1.07,2.14,21.4,16.05,0,0,0
21Day,5.35,4.02,37.48,1.34,12.05,1.34,0,0,1.34,0,1.34,4.02,12.05,0,46.85,0,0,5.35,0,113.78,18.74,0,32.12,5.35,0,2.68,140.55,424.31,1.34,0,1.34
3Month,0,0,2.88,0,0,0,0.32,0.32,1.6,0,0.32,0,1.6,0.32,0.64,0.96,0,0,0.32,0.32,0,0,0,0,1.28,0.32,0.64,0,0,0.64,0
22Month,0,0.55,2.73,0,0,0,1.09,2.73,16.4,0.55,2.19,0,0,0.55,0.55,0,1.64,0,0,0.55,0,0,0,0,0.55,2.19,41.55,0,0,0,0.55
