stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,44.93,4.28,0,0,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,4.02,4.02,0,0,0,0,0,1.34,0,0,0,87,5.35,0,1.34,0,0,2.68,4.02,0,0,0,0,0,1.34,0,0,0
3Month,0,7.36,18.56,0,0,0.96,0.32,0,5.76,1.28,0,2.56,77.75,1.28,0.32,0.64,0,0.64,0.32,0,0,0.32,0,0.96,1.28,0,0.32,0.96,0.96
22Month,2.19,33.89,33.35,1.09,1.09,8.75,2.19,2.73,15.31,1.09,0.55,7.65,52.48,0,3.28,1.64,1.09,0,0,0,0.55,0.55,0,0.55,1.64,0,0,0,0
